id,customer_id,product_id,date,quantity,total_amount
755600,484,1740,2011-11-16 12:16:00,12,15.0
755580,484,2256,2011-11-16 12:16:00,8,19.92
755590,484,2135,2011-11-16 12:16:00,12,15.0
755601,484,1728,2011-11-16 12:16:00,12,17.4
755612,484,1036,2011-11-16 12:16:00,6,17.700000000000003
755603,484,1922,2011-11-16 12:16:00,6,12.600000000000001
755579,484,2255,2011-11-16 12:16:00,2,15.8
755622,484,2671,2011-11-16 12:16:00,6,29.700000000000003
755621,484,546,2011-11-16 12:16:00,8,30.0
755623,484,1623,2011-11-16 12:16:00,20,13.0
755620,484,1915,2011-11-16 12:16:00,48,40.8
755619,484,2317,2011-11-16 12:16:00,12,24.96
755618,484,1290,2011-11-16 12:16:00,12,23.4
755617,484,1762,2011-11-16 12:16:00,6,15.299999999999999
755616,484,1763,2011-11-16 12:16:00,24,30.0
755602,484,1083,2011-11-16 12:16:00,12,10.2
755615,484,2486,2011-11-16 12:16:00,12,19.799999999999997
755613,484,2496,2011-11-16 12:16:00,12,15.0
755611,484,1395,2011-11-16 12:16:00,6,17.700000000000003
755610,484,1299,2011-11-16 12:16:00,12,35.400000000000006
755609,484,1769,2011-11-16 12:16:00,4,15.0
755608,484,2290,2011-11-16 12:16:00,4,16.6
755607,484,1369,2011-11-16 12:16:00,8,23.6
755606,484,2261,2011-11-16 12:16:00,12,9.959999999999999
755605,484,2267,2011-11-16 12:16:00,2,12.5
755604,484,1351,2011-11-16 12:16:00,3,14.850000000000001
755614,484,2080,2011-11-16 12:16:00,6,17.700000000000003
755578,484,2536,2011-11-16 12:16:00,12,10.2
755534,484,2113,2011-11-16 12:16:00,6,29.700000000000003
755576,484,1642,2011-11-16 12:16:00,3,14.850000000000001
755551,484,3887,2011-11-16 12:16:00,12,15.0
755550,484,2246,2011-11-16 12:16:00,6,22.5
755549,484,3463,2011-11-16 12:16:00,24,61.199999999999996
755548,484,3322,2011-11-16 12:16:00,4,23.0
755547,484,1981,2011-11-16 12:16:00,6,17.700000000000003
755546,484,2625,2011-11-16 12:16:00,2,16.5
755545,484,2213,2011-11-16 12:16:00,4,23.0
755577,484,4152,2011-11-16 12:16:00,12,15.0
755543,484,2424,2011-11-16 12:16:00,12,19.799999999999997
